lat,lon,risk_score,risk_level,slope,NDVI,rainfall,competency_index,elevation,FS
30.37023218568458,78.68912932967207,0.0271,Low,42.590126037597656,0.6133869089826754,1350.8340108394625,0.449999988079071,1976,1.034136208581373
30.0134,79.9261,0.9531,High,22.0172061920166,0.6478544202631256,1508.1483125686646,0.5799999833106995,1456,2.1781796673314404
30.5319,79.3541,0.9077,High,32.27661895751953,0.8062402219795141,1237.6201570034027,0.3799999952316284,3085,1.266262254608933
30.61461423,78.3157525,0.9665,High,37.99652862548828,0.7029736877152261,1664.3780493736267,0.5799999833106995,1103,1.269775284713655
30.2258,78.3755,0.9806,High,4.2480645179748535,0.6983244905608545,1573.9749550819397,0.449999988079071,637,9.917411285823697
30.764809800902995,79.37628007770485,0.0167,Low,28.59269905090332,0.1735896318884774,1356.0684311389923,0.3799999952316284,4290,1.4080490637593466
30.564416587779743,78.27428554527432,0.0617,Low,26.13546562194824,0.6097307102507902,1706.732907295227,0.449999988079071,1915,1.5788102817153873
30.7412,79.4929,0.9039,High,46.18926239013672,0.4532070702259144,1102.4957942962646,0.3799999952316284,3517,0.906776048805477
30.4,79.349,0.9803,High,31.66919708251953,0.7139520418396234,1077.6563596725464,0.3799999952316284,1646,1.319221924818082
30.548,79.55,0.9348,High,42.212982177734375,0.9463936086418364,1195.883160829544,0.3799999952316284,1455,0.9754704561171336
30.39363552027744,79.0994064387123,0.9668,High,35.96299362182617,0.7546786259521212,1088.2382428646088,0.2000000029802322,1906,0.9183733237821106
30.5568,79.5541,0.9968,High,17.02280044555664,0.4564857881136951,1144.3018865585327,0.3799999952316284,1590,2.456196980707777
30.48617365410488,79.41894216915821,0.0804,Low,45.49717712402344,0.7737045399120495,1346.0642051696775,0.3799999952316284,1465,0.8931837938079227
30.1281,78.3221,0.951,High,11.373849868774414,0.2860299542117963,1758.00794839859,0.449999988079071,434,3.5983095522493462
30.4054,79.3426,0.9697,High,35.24110412597656,0.6450136239782017,1077.6563596725464,0.3799999952316284,1259,1.183761671268841
