point_id,lat,lon,label,elevation,slope,aspect,curvature,NDVI,rainfall,competency_index,FS
75,30.4521,78.754,1,2126,26.66170883178711,249.2289886474609,-27.0,0.5445551469246068,1524.3670964241028,0.3799999952316284,1.474766655006298
76,30.866595688595503,78.90301178436866,0,5217,24.59034538269043,55.53056716918945,-27.0,-0.013585207604933,1060.687439441681,0.3799999952316284,1.7112804823878767
77,30.2733,79.233,1,1231,27.869365692138672,277.0336303710937,-8.0,0.6380349093759682,1141.0822176933289,0.6800000071525574,1.9735598436139121
78,30.73315585,79.49231617,1,3669,41.57918167114258,60.4854850769043,58.0,-0.3705834018077232,1102.4957942962646,0.3799999952316284,1.0012716846533298
79,30.09505653683257,79.37592244056707,0,1775,24.411766052246094,135.50613403320312,14.0,0.4950908714345555,1365.7857429981232,0.3799999952316284,1.6504599691540616
80,30.909595391110944,79.04536704152484,0,5473,26.7132625579834,175.6996612548828,-21.0,-0.0252983654965502,1116.1274778842926,0.3799999952316284,1.5606830652341226
81,30.708583545767823,79.62665688806042,0,4589,45.27113342285156,225.12579345703125,66.0,0.240202519904151,1004.7481513023376,0.3799999952316284,0.9342151535946447
82,30.33597362,79.31958144,1,1144,39.34046173095703,286.0506896972656,-48.0,0.7599835745816652,1224.7855150699615,0.3799999952316284,1.040708049924884
83,30.049860146399165,79.04078664616569,0,2233,31.14573860168457,227.95916748046875,-79.0,0.6665371428571429,1320.2233123779297,0.20000000298023224,1.0367028883477014
84,30.251307687142155,79.29038930592027,0,1937,34.606346130371094,237.34503173828125,43.0,0.7079855763466841,1227.5503158569336,0.44999998807907104,1.277458517419539
85,30.663310709504003,79.98284901022507,0,5039,30.34846878051757,185.53355407714844,-7.0,0.0747786556805788,613.7849044799805,0.41999998688697815,1.5258824461742895
86,30.0702,78.3027,1,439,2.8325252532958984,310.8705749511719,-4.0,0.7908357994588537,1727.576603889465,0.10000000149011612,9.726997645670924
87,30.4619,79.0765,1,978,18.10213279724121,53.54126739501953,-1.0,0.6460211350822107,1287.365163564682,0.44999998807907104,2.421788381071013
88,30.556,79.568,1,1590,17.02280044555664,17.879207611083984,-21.0,0.4564857881136951,1144.3018865585327,0.3799999952316284,2.456196980707777
89,30.2485,78.8847,1,729,34.67637252807617,20.618024826049805,36.0,0.757039783386397,1194.3471217155457,0.44999998807907104,1.2803289578612287
90,30.4008,79.0278,1,919,39.9411506652832,150.4523162841797,-7.0,0.582143633759939,1096.6858053207395,0.44999998807907104,1.1307161007430506
91,30.15,78.7753,1,1426,20.19946479797364,37.6299934387207,-18.0,0.5376136073292695,1393.0816566944122,0.44999998807907104,2.1368812100535095
92,30.497174764008427,78.51370162130245,0,1837,24.53315734863281,196.7456512451172,4.0,0.4976295981727367,1371.477293968201,0.6800000071525574,2.1716047238217144
93,30.098968623408705,79.91058417014109,0,2386,36.42216873168945,242.56678771972656,44.0,0.631500115602288,1462.699794769287,0.3799999952316284,1.0879923489703858
94,30.6945,79.0544,1,3082,20.825891494750977,289.9045104980469,-72.0,0.7959853150817633,1421.1643433570862,0.3799999952316284,1.9227563916715484
95,30.2902,79.151,1,728,13.813342094421388,262.4334716796875,-2.0,0.4170864614817945,1165.9304416179657,0.44999998807907104,3.2328671069607897
96,30.71812307622649,79.27682796773341,0,4289,51.37516403198242,185.17774963378903,61.0,0.227231532762713,1140.275777578354,0.3799999952316284,0.8247697616214549
97,30.43703372544977,79.4783088933254,0,2520,37.264793395996094,-0.0,5.0,0.8851628133027841,1129.7407126426697,0.5799999833106995,1.3746543943885625
98,30.9206,78.3276,1,3023,46.3676986694336,166.47486877441406,8.0,0.7640957670816624,1687.997076511383,0.44999998807907104,0.9249065901658468
99,30.9013,79.5322,1,5222,6.464860916137695,180.0,13.0,0.036791811724329,907.9132902622224,0.3799999952316284,6.72912547247229
100,30.93044860054503,79.73473801898878,0,4943,1.0811394453048706,90.0,-5.0,0.1993901088604574,624.3404632806778,0.3799999952316284,10.0
101,30.92222331815486,78.58326671086868,0,3755,32.75845718383789,197.05479431152344,23.0,0.4467887469584597,1214.3805491924286,0.3799999952316284,1.251392211831983
102,30.5004,79.3888,1,2147,34.72612380981445,332.5611877441406,-26.0,0.8207538865120865,1306.8869841098783,0.3799999952316284,1.1652933370276428
103,30.953402879382097,78.85400080744928,0,4574,38.91915512084961,10.780104637145996,-32.0,0.0037183697121887,1088.6491644382477,0.41999998688697815,1.1214925019865694
104,30.2835,79.2498,1,833,25.58102226257324,168.7078399658203,-13.0,0.6409441109275945,1227.5503158569336,0.44999998807907104,1.7252585110256482
105,30.600534768206412,78.33181670769902,0,1205,49.035640716552734,291.43267822265625,-38.0,0.7452509058965631,1664.3780493736267,0.5799999833106995,1.0415701135762838
106,30.666385413578208,78.58759494955171,0,2562,28.86187744140625,252.9202423095703,-11.0,0.7706585663069779,1665.6844353675842,0.44999998807907104,1.4396091114542915
107,30.59240778465952,79.97475377183393,0,5157,19.64281845092773,251.4898376464844,10.0,0.0318787545342298,961.7716896533966,0.44999998807907104,2.3334521950359313
108,30.24685702759573,78.30796268994473,0,1455,32.75530242919922,125.36032104492188,-33.0,0.5898560551253395,1745.8924627304075,0.41999998688697815,1.2163237082233038
109,30.7394,78.5306,1,1828,39.31065368652344,126.37749481201172,-51.0,0.5578900423676321,1667.9061269760132,0.44999998807907104,1.0694972868700758
110,30.4954,78.3881,1,827,6.431828498840332,90.0,-10.0,0.263711194418133,1566.2985014915466,0.5799999833106995,7.364557486834513
111,30.4749,79.2293,1,3361,39.79587936401367,31.23934936523437,1.0,0.494123747862831,1063.163846731186,0.3799999952316284,1.050274939255957
112,30.885,78.6695,1,1846,45.14224243164063,334.4255676269531,78.0,0.8205882196544704,1156.8512678146362,0.3799999952316284,0.9201361272993774
113,30.7652,78.5925,1,1830,27.297870635986328,321.642333984375,-3.0,0.7875324767558163,1316.9132268428802,0.3799999952316284,1.4840532939378026
114,30.4092495737854,79.48520487534232,0,3190,20.28415870666504,105.2357177734375,-30.0,0.8061041450118197,1129.7407126426697,0.5799999833106995,2.4827541294471147
115,30.701293342088384,79.81174530452064,0,3712,20.21760368347168,41.64799118041992,13.0,0.3979349158751496,875.8649754524231,0.3799999952316284,2.1433426978117915
